,Alimento,Energía        (Kcal),Proteínas      (g),Grasa Total     (g),Carbohidratos (g)
7,"Amaranto, semilla, cruda (Amarantus caudatus)",384.0,15.3,7.6,63.6
8,"Amaranto, semilla, cruda (Amarantus hipochondriacus)",381.0,14.4,7.4,64.3
9,"Amaranto, semilla, cruda (Amarantus mantegazzianus)",388.0,15.4,8.4,62.7
10,"Amaranto, semillia, cruda (Amarantus cruentus)",384.0,15.6,7.6,63.4
11,"Arroz, grano, blanco, pulido, crudo",339.0,6.9,0.2,79.2
12,"Arroz, grano, blanco, pulido, hervido",82.0,1.4,0.1,19.4
13,"Avena , grano, arrollada, cruda",383.0,15.6,7.8,62.5
15,"Avena, grano, arrollada, hervida",86.0,3.8,1.9,15.8
16,"Cebada, grano, mondado, perlado, crudo",317.0,10.2,1.5,74.9
17,"Cebada, grano, mondado, perlado, hervido",82.0,3.8,0.1,19.3
18,"Cebada, harina ""Genser"", cruda",328.0,10.2,1.7,76.9
19,"Centeno, harina, clara, cruda",332.0,8.9,0.9,78.5
20,"Centeno, pan",206.0,8.7,0.6,48.9
21,"Centeno, pan con harina integral",214.0,10.4,0.9,49.0
22,"Maiz, amarillo Leales, grano entero, crudo",346.0,10.6,0.8,74.1
23,"Maiz amarillo, pisingallo, grano entero, crudo",345.0,10.9,0.5,74.6
24,"Maiz amarillo, sémola, grano entero, crudo",305.0,9.0,1.1,76.4
25,"Maiz, amarillo trópico 327, grano entero, crudo  ",344.0,9.8,1.1,73.6
26,"Maiz, blanco 8 rayas, grano entero, crudo",340.0,7.3,0.9,77.7
27,"Maiz, blanco perla, grano entero, crudo",335.0,9.0,0.9,74.8
28,"Maiz, choclo",97.0,3.7,1.2,20.5
29,"Maiz, grano, entero (Zea mays spp)",346.0,9.5,0.9,74.9
30,"Maiz, harina amarilla (polenta), cruda",369.0,11.1,3.2,73.9
31,"Maiz, harina amarilla (polenta), cruda",338.0,9.1,4.9,73.4
32,"Maiz, harina amarilla (polenta), hervida",68.0,3.2,0.8,13.7
33,"Maiz, pan",275.0,9.1,2.9,53.2
34,"Trigo, bizcochos ""Bay Biscuit""",382.0,5.9,10.1,72.5
35,"Trigo, bizcochos, vainillas",401.0,10.2,8.9,70.0
36,"Trigo, galleta de campo",300.0,9.8,1.0,63.0
37,"Trigo, galleta marinera",361.0,12.8,0.7,75.9
38,"Trigo, galletitas de agua ""Express""",442.0,13.5,15.5,62.0
39,"Trigo, galletitas de agua ""Traviata""",437.0,12.2,13.1,67.6
42,"Trigo, galletitas dulces ""Manón""",417.0,8.5,10.1,73.0
43,"Trigo, galletitas dulces ""Minue""",419.0,8.2,13.1,67.0
44,"Trigo, galletitas oblea ""Opera""",442.0,4.9,21.1,58.0
45,"Trigo, grano entero, crudo",347.0,12.4,2.0,69.8
46,"Trigo, grisines",342.0,12.5,0.2,72.6
50,"Trigo, pan alemán",264.0,8.9,0.2,56.7
51,"Trigo, pan criollo",280.0,8.7,0.3,60.7
53,"Trigo, pan de Viena",307.0,9.8,1.9,62.6
55,"Trigo, pan francés",269.0,9.3,0.2,57.4
56,"Trigo, pan negro con levadura agria",271.0,8.4,0.5,58.3
57,"Trigo, pan negro con levadura comprimida",269.0,9.5,2.4,52.4
58,"Trigo, pan negro sin levadura",269.0,9.6,0.6,56.3
60,"Trigo, sémola, cruda",349.0,11.7,0.9,73.4
61,"Trigo, sémola, hervida",70.0,2.4,0.0,15.0
62,"Trigo, tallarines, frescos, hervidos",98.0,4.1,1.5,16.9
