,Alimento,Energía        (Kcal),Proteínas      (g),Carbohidratos totales           (g),Grasa Total (g)
7,Aceituna de monte,93,1.6,19.4,0.4
8,"Aceituna verde, pulpa, encurtida",144,1.5,4,13.5
9,"Ananá enlatado, contenido envase",87,0.4,21.1,0.1
10,"Ananá, pulpa, fresco",58,0.4,13.7,0.2
11,"Banana, pulpa, fresca",99,1.2,23,0.2
12,"Cereza, pulpa, fresca",68,1.1,14.8,0.5
13,"Ciruela, pasa, cruda",255,1.9,61.6,0.1
14,"Ciruela, pasa, hervida",165,1,40.1,0.1
15,"Ciruela, pulpa, fresca",56,0.7,12.9,0.2
16,"Coco, pulpa, fresco, crudo",382,3.4,14,34.7
17,"Damasco, pulpa, fresco, crudo",57,1,12.9,0.1
18,Doca,49,1.6,11.5,1.0
19,"Durazno orejón, pulpa y piel, hervido",40,2.5,7.5,0.0
20,"Durazno, pulpa, envasado al natural",75,0.4,18.2,0.1
21,"Durazno, pulpa, fresco, crudo",51,0.5,12,0.1
22,"Frutilla pulpa, fresca, cruda",41,0.8,8.1,0.6
23,"Granada, pulpa, fresca",75,0.6,17.7,0.2
24,"Guaraniná, Brumelia obtusifolia",147,1.6,23.7,3.2
25,"Higo, pulpa, fresca",88,1.4,19.6,0.4
26,"Kaki, pulpa, fresco",87,0.8,20,0.4
27,"Kinoto, pulpa y cáscara, fresco, crudo",73,0.9,17.1,0.1
28,"Limón, pulpa, fresco",44,0.9,8.7,0.6
29,"Manzana, hervida",26,0.5,6,0.0
30,"Manzana, pulpa, fresca, cruda",64,0.3,14.9,0.4
31,Mburucuyá maduro,84,4.7,23.4,1.7
32,Mburucuyá verde,59,3.2,15.7,1.6
33,"Melón, pulpa, fresco",28,0.6,5.9,0.2
34,"Membrillo, pulpa, fresco, crudo",58,0.3,13.9,0.1
35,"Mora, fresca",69,1.2,14.6,0.6
36,Ñandapirí,70,1.7,14.3,0.7
37,"Palta, pulpa, fresca",258,1.7,3.3,26.4
38,"Pera, orejón, crudo",299,2.3,71.6,0.4
39,"Pera, pulpa, fresca, cruda",70,0.7,15.8,0.4
40,"Pomelo, pulpa, fresco",26,0.5,5.9,0.0
41,"Sandía, pulpa, fresca, cruda",31,0.5,6.9,0.2
42,Ubajay,49,1.1,8.1,1.6
