,Alimento,Energía        (Kcal),Grasa Total     (g)
7,"Aceite comestible mezcla Lira, 85% girasol, 15% oliva",900,100
8,"Aceite comestible mezcla Patito, 94% girasol, 6% maiz",900,100
9,Aceite de canola,900,100
10,Aceite de girasol Familiar,900,100
11,Aceite de girasol Ideal,900,100
12,Aceite de girasol Natura,900,100
13,Aceite de maiz Arcor,900,100
14,Aceite de maiz Cocinero,900,100
15,Aceite de maiz Mazzola,900,100
16,Aceite de oliva Cocinero,900,100
17,Aceite de uva Cocinero,900,100
18,Grasa de cerdo,898,99.8
19,Grasa Vacuna,899,99.9
20,Margarina 100% vegetal Delicia,747,83
21,Margarina 100% vegetal Manty (en pote y en pan),747,83
22,Margarina reducida en calorias Manty liviana,504,56
