,Alimento,Energía        (Kcal),Proteínas      (g),Carbohidratos totales                (g),Grasa Total     (g)
7,"Leche, condensada, Nestlé",328,8,55.8,8.1
8,"Leche de burra, entera, fluida",45,1.9,6.2,1.4
9,"Leche de cabra, entera, fluida",78,3.3,3.0,5.9
10,"Leche de oveja, entera, fluida",99,5.5,4.5,6.5
11,"Leche de vaca, entera, fluida, adicionada con vitamina A",57,3.1,4.6,2.9
12,"Leche de vaca, entera, fluida, pasteurizada",57,3.1,4.6,2.9
13,"Leche de vaca parcialm. descremada, adic. con vit A y D",44,3.2,4.6,1.4
14,Leche en polvo descremada,370,35.5,52.2,1
15,Leche en polvo entera,489,25.8,40.9,24.8
16,"Leche humana, entera, en polvo",520,9.6,49.5,31.5
17,"Leche humana, entera, fluida",71,1.1,7.1,4.2
20,"Manteca, fresca",758,0.5,0.0,84
23,"Queso crema, entero, untable ",246,6.6,3.9,22.6
24,"Queso descremado, untable",82,13.7,6.1,0.3
25,"Queso, Petit Suisse",182,14.1,0.0,14
26,"Queso semidescremado, untable",104,11.5,5.5,4
29,Queso  Blanco Argentino Semimagro ,104,11.5,5.6,4
30,Queso Belpaese,309,20.3,0.0,25.3
31,Queso Camembert,287,20.1,0.0,23
32,Queso cremoso,302,19.7,4.2,22.9
33,Queso cuartirolo,291,20.8,3.9,21.4
34,Queso doble crema,260,18,0.0,20.9
35,Queso Limburgués,324,21.8,0.0,26.3
36,Queso mozarella,282,23.6,3.3,19.3
37,Queso Por Salut,301,20.4,3.7,22.7
40,Queso azul,377,20,4.3,31.1
41,Queso Cheddar,357,29.5,0.0,26.5
42,Queso Chubut,328,25.9,0.0,24.9
43,Queso Fontina,340,24.3,0.0,33.6
44,Queso Gorgonzola,480,21.6,0.0,43.7
45,Queso Gruyere,379,28.6,0.0,29.4
46,Queso Holanda,345,25.1,0.0,27.2
47,Queso Pategrás,410,24.8,0.0,34.5
48,Queso Roquefort,426,19.2,0.0,38.8
49,Queso Suizo,404,28.6,1.9,31.3
50,Queso Tafí,358,21.8,0.0,30.1
51,Queso Tandil,345,25.5,0.0,27
52,Queso tipo Mar del Plata  ,332,25.4,0.0,25.6
55,Queso Goya,402,29.7,0.0,31.5
56,Queso Parmesano,350,32.7,0.0,24.4
57,Queso Provolone,391,32.1,0.0,29.2
58,Queso Reggianito,365,33.4,3.4,24.2
59,Queso Sardo,402,30,5.0,29.1
60,Queso Sbrinz,357,29.4,0.0,26.6
63,Ricota de leche entera,168,11.6,4.0,11.8
64,Ricotta semidescremada,168,11.6,4.0,11.7
67,Yogur descremado,59,4.3,5.9,0.2
68,Yogur descremado bebible,30,3.3,4.1,0.1
69,Yogur descremado fortificado con Ca,48,4.6,7.1,0.1
70,Yogur entero bebible,82,2.8,12.7,2.2
71,Yogur entero natural,66,4.6,5.3,3
72,Yogur entero saborizado,88,4.4,12.4,2.4
