,Alimento,Energía        (Kcal),Proteínas      (g),Carbohidratos totales           (g),Grasa Total     (g)
7,"Abadejo, fresco, crudo, carne",72,15.8,0.2,0.9
13,"Anchoa, fresca, cruda, carne",92,21.5,0.5,0.4
14,"Anchoita, fresca, cruda, carne",129,19.2,0.8,5.4
20,"Besugo, fresco, crudo, carne",100,20.4,0.0,2
27,"Bonito, fresco, crudo, carne",219,22,0.0,14.5
28,"Brótola, fresca, cruda, carne",83,17.6,0.4,1.2
29,"Caballa, fresca, cruda, carne",232,22,0.4,15.8
30,"Castañeta, fresca, cruda, carne",95,18.4,0.3,2.3
31,"Castañeta, fresca, cruda, entera",170,17,0.5,11.1
32,"Congrio, fresco, crudo, carne",107,17.2,0.7,4
33,"Cornalito, fresco, crudo, entero",86,16,0.6,2.2
34,"Corvina blanca, fresca, cruda, carne",97,19.5,0.4,1.9
35,"Corvina negra, fresca, cruda, carne",84,18.8,0.4,0.8
36,"Dorado, fresco, crudo, carne",80,18.8,0.1,0.5
38,"Gatuso, fresco, crudo, carne",72,17.4,0.1,0.2
39,"Jurel, fresco, crudo, carne",149,19,0.2,8
40,"Lenguado, fresco, crudo, carne",78,17.5,0.2,0.8
41,"Lisa, fresca, cruda, carne",146,17.9,1.1,7.8
42,"Merluza, fresca, cruda, carne",81,17.1,0.1,1.3
43,"Mero, fresco, crudo, carne",83,17.9,0.5,1
48,"Palometa, fresca, cruda, carne",215,20.1,0.4,14.8
49,"Pargo, fresco, crudo, carne",113,19.1,0.3,3.9
52,"Patí, fresco, crudo, carne",90,18.2,0.3,1.8
59,"Pejerrey mar, fresco, crudo, carne",86,18.6,0.2,1.2
60,"Pescadilla, fresca, crudo, carne",97,17.8,0.2,2.8
62,"Pez palo, fresco, crudo, carne",96,20.1,0.0,1.7
70,"Sardina fueguina, fresca, cruda, carne",136,14,0.0,8.9
72,"Surubí, fresco, crudo, carne",110,18.2,0.2,4
78,"Tararira, fresca, cruda, carne",79,18.1,0.4,0.6
79,"Testolin, fresco, crudo, carne",98,18.9,0.2,2.4
82,"Calamar, fresco, crudo (tubo aletas y tentáculos)",79,18.4,0.0,0.6
83,"Calamar, fresco, entero, crudo",80,18.5,0.0,0.7
84,"Camarón, fresco, crudo, carne de cola",91,21,0.0,0.8
85,"Centolla, fresca, carne, cruda",66,13.9,0.0,1.1
86,"Centolla, fresca (carne de pata solamente)",83,18.8,0.0,0.8
87,"Langostino, fresco, crudo, carne de cola",97,22,0.2,0.9
88,"Mejillón, fresco, crudo (capturado en primavera)",95,17.6,2.5,1.6
89,"Mejillón, fresco, crudo, carne",64,11.9,1.7,1.1
93,"Ancho, pasta",202,20.2,4.3,11.6
94,"Caballa, tronco",212,26.5,0.0,11.8
